id,col,surf,morph,size.x,size.y,size.z,weight,batch.id
SC-TB-0429,White,fragment,PL24,1.8,1.4,0.2,0.4,8
CR-PC-0047,White,cap,DII,1.9,1.9,1.6,1,1
SC-TB-0159,White,fragment,PL24,2.3,0.6,0.2,0.3,6
SC-TB-0198,Blue,fragment,PL24,2.7,2.9,0.1,0.1,6
SC-TB-0437,White,fragment,PL24,1.2,1.2,0.1,0.1,8
SC-TB-0400,Yellow,fragment,PL24,1.1,0.7,0.1,0.1,8
IS-DV-0001,Black,other,IR,30,30,30,1431,1
SC-TB-0326,Black,fragment,PL24,4.3,3,0.2,0.4,7
SC-TB-0209,Red,fragment,PL24,1.1,0.8,0.1,0.1,6
SC-TB-0276,White,fragment,PL24,6.7,1.1,0.3,0.6,7
SC-TB-0289,White,cap,PL01,3.1,3.1,0.7,2.2,7
SC-TB-0251,Green,fragment,PL24,1.9,1.5,1.2,1.2,6
SC-TB-0264,White,fragment,PL24,2.1,0.7,0.1,0.2,6
CR-PC-0067,Transparent,piece,AI,6.5,1.2,0.2,0.7,1
SC-TB-0106,Blue,fragment,PL24,0.4,0.3,0.2,0.1,3
IS-DV-0013,White,bottle,IA,5.7,5.7,7.6,17,1
SC-TB-0262,White,fragment,PL24,4.2,3.1,0.1,0.9,6
SC-TB-0138,White,fragment,PL24,3,2.2,0.3,0.7,6
